Kanji,Furigana,Meaning,ます form,て form,Volitional form,Conditional (ば) form,Potential,Passive,Causative
故障する,こしょうする,to break-down,故障し,故障して,故障しよう,故障すれば,故障できる,故障される,故障させる
講義する,こうぎする,to lecture on,講義し,講義して,講義しよう,講義すれば,講義できる,講義される,講義させる
壊れる,こわれる,to be broken,壊れ,壊れて,壊れよう,壊れれば,壊れられる,壊れられる,壊れさせる
壊す,こわす,to break,壊し,壊して,壊そう,壊せば,壊せる,壊される,壊させる
下さる,くださる,(respectful) to give,下さい,下さって,下さろう,下されば,下される,下さられる,下さらせる
比べる,くらべる,to compare,比べ,比べて,比べよう,比べれば,比べられる,比べられる,比べさせる
暮れる,くれる,to get dark,暮れ,暮れて,暮れよう,暮れれば,暮れられる,暮れられる,暮れさせる
教育する,きょういくする,to educate,教育し,教育して,教育しよう,教育すれば,教育できる,教育される,教育させる
競争する,きょうそうする,to compete,競争し,競争して,競争しよう,競争すれば,競争できる,競争される,競争させる
急行する,きゅうこうする,to rush to,急行し,急行して,急行しよう,急行すれば,急行できる,急行される,急行させる
間違える,まちがえる,to make a mistake,間違い,間違えて,間違えよう,間違えれば,間違えられる,間違えられる,間違えさせる
参る,まいる,(humble) to go; to come,参り,参って,参ろう,参れば,参れる,参られる,参らせる
負ける,まける,to lose,負け,負けて,負けよう,負ければ,負けられる,負けられる,負けさせる
間に合う,まにあう,to be in time (for),間に合い,間に合って,間に合おう,間に合えば,間に合える,間に合われる,間に合わせる
回る,まわる,to go around,回り,回って,回ろう,回れば,回れる,回られる,回らせる
召し上がる,めしあがる,to eat; to drink,召し上がり,召し上がって,召し上がろう,召し上がれば,召し上がれる,召し上がられる,召し上がらせる
見える,みえる,to be seen; to look; to seem,見え,見えて,見えよう,見えれば,見えられる,見えられる,見えさせる
見つかる,みつかる,to be found; be discovered,見つかり,見つかって,見つかろう,見つかれば,見つかれる,見つかられる,見つからせる
見つける,みつける,to discover; to find,見つけ,見つけて,見つけよう,見つければ,見つけられる,見つけられる,見つけさせる
戻る,もどる,to turn back,戻り,戻って,戻ろう,戻れば,戻れる,戻られる,戻らせる
申し上げる,もうしあげる,to say; to offer,申し上げ,申し上げて,申し上げよう,申し上げれば,申し上げられる,申し上げられる,申し上げさせる
申す,もうす,to be called; to say,申し,申して,申そう,申せば,申せる,申される,申させる
迎える,むかえる,to go out to meet,迎え,迎えて,迎えよう,迎えれば,迎えられる,迎えられる,迎えさせる
向かう,むかう,to head towards,向かい,向かって,向かおう,向かえば,向かえる,向かわれる,向かわせる
無理する,むりする,to overwork; do impossible,無理し,無理して,無理しよう,無理すれば,無理できる,無理される,無理させる
投げる,なげる,to throw or cast away,投げ,投げて,投げよう,投げれば,投げられる,投げられる,投げさせる
泣く,なく,to weep,泣き,泣いて,泣こう,泣けば,泣ける,泣かれる,泣かせる
無くなる,なくなる,to disappear; to get lost,無くなり,無くなって,無くなろう,無くなれば,無くなれる,無くなられる,無くならせる
亡くなる,なくなる,to die,亡くなり,亡くなって,亡くなろう,亡くなれば,亡くなれる,亡くなられる,亡くならせる
直る,なおる,"to be fixed;
  to be repaired",直り,直って,直ろう,直れば,直れる,直られる,直らせる
治る,なおる,to be cured; to heal,治り,治って,治ろう,治れば,治れる,治られる,治らせる
慣れる,なれる,to get used to,慣れ,慣れて,慣れよう,慣れれば,慣れられる,慣れられる,慣れさせる
鳴る,なる,to sound; to ring,鳴り,鳴って,鳴ろう,鳴れば,鳴れる,鳴られる,鳴らせる
寝坊する,ねぼうする,to sleep in late,寝坊し,寝坊して,寝坊しよう,寝坊すれば,寝坊できる,寝坊される,寝坊させる
眠る,ねむる,to sleep,眠り,眠って,眠ろう,眠れば,眠れる,眠られる,眠らせる
逃げる,にげる,to escape,逃げ,逃げて,逃げよう,逃げれば,逃げられる,逃げられる,逃げさせる
似る,にる,to be similar,似,似て,似よう,似れば,似られる,似られる,似させる
残る,のこる,to remain,残り,残って,残ろう,残れば,残れる,残られる,残らせる
乗り換える,のりかえる,to change buses or trains,乗り換え,乗り換えて,乗り換えよう,乗り換えれば,乗り換えられる,乗り換えられる,乗り換えさせる
濡れる,ぬれる,to get wet,濡れ,濡れて,濡れよう,濡れれば,濡れられる,濡れられる,濡れさせる
塗る,ぬる,to paint; to plaster,塗り,塗って,塗ろう,塗れば,塗れる,塗られる,塗らせる
盗む,ぬすむ,to steal,盗み,盗んで,盗もう,盗めば,盗める,盗まれる,盗ませる
入学する,にゅうがくする,to enroll in school / uni.,入学し,入学して,入学しよう,入学すれば,入学できる,入学される,入学させる
入院する,にゅういんする,to be hospitalized,入院し,入院して,入院しよう,入院すれば,入院できる,入院される,入院させる
落ちる,おちる,to fall or drop,落ち,落ちて,落ちよう,落ちれば,落ちられる,落ちられる,落ちさせる
驚く,おどろく,to be surprised,驚き,驚いて,驚こう,驚けば,驚ける,驚かれる,驚かせる
踊る,おどる,to dance,踊り,踊って,踊ろう,踊れば,踊れる,踊られる,踊らせる
お出でになる,おいでになる,(respectful) to be,お出でになり,お出でになって,お出でになろう,お出でになれば,お出でになれる,お出でになられる,お出でにならせる
お祝いする,おいわいする,to celebrate,お祝いし,お祝いして,お祝いしよう,お祝いすれば,お祝いできる,お祝いされる,お祝いさせる
行う,おこなう,to perform; to do; carry out,行い,行って,行おう,行えば,行える,行われる,行わせる
怒る,おこる,to be angry,怒り,怒って,怒ろう,怒れば,怒れる,怒られる,怒らせる
起こす,おこす,to wake,起こし,起こして,起こそう,起こせば,起こせる,起こされる,起こさせる
遅れる,おくれる,to be late,遅れ,遅れて,遅れよう,遅れれば,遅れられる,遅れられる,遅れさせる
送る,おくる,to send,送り,送って,送ろう,送れば,送れる,送られる,送らせる
思い出す,おもいだす,to remember,思い出し,思い出して,思い出そう,思い出せば,思い出せる,思い出される,思い出させる
折れる,おれる,"to break;
  to be broken",折れ,折れて,折れよう,折れれば,折れられる,折れられる,折れさせる
下りる,おりる,to get off,下り,下りて,下りよう,下りれば,下りられる,下りられる,下りさせる
折る,おる,to break or to fold,折り,折って,折ろう,折れば,折れる,折られる,折らせる
仰る,おっしゃる,(respectful) to say,仰い,仰って,仰ろう,仰れば,仰れる,仰られる,仰らせる
落とす,おとす,to drop,落とし,落として,落とそう,落とせば,落とせる,落とされる,落とさせる
冷房する,れいぼうする,to cool (a.c.),冷房し,冷房して,冷房しよう,冷房すれば,冷房できる,冷房される,冷房させる
連絡する,れんらくする,"to contact;
  to get in touch",連絡し,連絡して,連絡しよう,連絡すれば,連絡できる,連絡される,連絡させる
利用する,りようする,"to use;
  to capitalize on",利用し,利用して,利用しよう,利用すれば,利用できる,利用される,利用させる
留守する,るすする,to be absent,留守し,留守して,留守しよう,留守すれば,留守できる,留守される,留守させる
下がる,さがる,to get down,下がり,下がって,下がろう,下がれば,下がれる,下がられる,下がらせる
探す,さがす,to look for,探し,探して,探そう,探せば,探せる,探される,探させる
下げる,さげる,to lower,下げ,下げて,下げよう,下げれば,下げられる,下げられる,下げさせる
差し上げる,さしあげる,to give,差し上げ,差し上げて,差し上げよう,差し上げれば,差し上げられる,差し上げられる,差し上げさせる
