名刺,めいし,noun,Meaning
趣味,しゅみ,shumi,hobby; pastime; preference
習慣,しゅうかん,shuukan,habit; custom
祖母,そぼ,sobo,grandmother
祖父,そふ,sofu,grandfather
ソフト,,sofuto,soft
卒業,そつぎょう,sotsugyou,graduation
相談,そうだん,soudan,to discuss
水道,すいどう,suidou,water supply
水泳,すいえい,suiei,swimming
スクリーン,,sukuriin,screen
隅,すみ,sumi,corner; nook
砂,すな,suna,sand
すり,,suri,pickpocket
スーツケース,,sustsukeesu,suitcase
ステーキ,,suteeki,steak
ステレオ,,sutereo,stereo
数学,すうがく,suugaku,mathematics; arithmetic
スーツ,,suutsu,suit
退院,たいいん,tai'in,leaving hospital; discharge
台風,たいふう,taifuu,typhoon
タイプ,,taipu,"type,style"
たいてい,,taitei,usually
棚,たな,tana,shelves
誕生,たんじょう,tanjou,birth
楽しみ,たのしみ,tanoshimi,looking forward to
畳,たたみ,tatami,Japanese straw mat
手袋,てぶくろ,tebukuro,glove
丁寧,ていねい,teinei,polite
テキスト,,tekisuto,text; textbook
適当,てきとう,tekitou,suitable
点,てん,ten,point; dot
店員,てんいん,ten'in,shop assistant; clerk
テニス,,tenisu,tennis
天気予報,てんきよほう,tenkiyohou,weather forecast
展覧会,てんらんかい,tenrankai,exhibition
寺,てら,tera,temple
途中,とちゅう,tochuu,on the way
特急,とっきゅう,tokkyuu,limited express (train)
床屋,とこや,tokoya,barber
特別,とくべつ,tokubetsu,special; particular
遠く,とおく,tooku,distant
都合,つごう,tsugou,convenience
月,つき,tsuki,moon
妻,つま,tsuma,(humble) wife
腕,うで,ude,arm
受付,うけつけ,uketsuke,reception (desk)
生まれ,うまれ,umare,birth
運転手,うんてんしゅ,untenshu,driver; chauffeur
裏,うら,ura,reverse side
売り場,うりば,uriba,selling area
嘘,うそ,uso,a lie
ワープロ,,waapuro,word processor
割合,わりあい,wariai,rate; ratio
忘れ物,わすれもの,wasuremono,lost article
約束,やくそく,yakusoku,promise
予習,よしゅう,yoshuu,preparation for a lesson
予定,よてい,yotei,plan
用,よう,you,business; task; errand
用意,ようい,youi,preparation; arrangements
用事,ようじ,youji,tasks; things to do; errand
予約,よやく,yoyaku,reservation
湯,ゆ,yu,hot water
指,ゆび,yubi,finger
指輪,ゆびわ,yubiwa,finger ring
夢,ゆめ,yume,dream
残念,ざんねん,zannen,regrettable; unfortunate
