日本語,かな,Romaji,Meaning
質問,しつもん,shitsumon,question; inquiry
食堂,しょくどう,shokudou,cafeteria; dining room
醬油,しょうゆ,shouyu,soy sauce
宿題,しゅくだい,shukudai,homework; assignment
そば,,soba,near; beside
空,そら,sora,sky; the air
外,そと,soto,outside; exterior;
掃除,そうじ,souji,"to clean, to sweep"
水曜日,すいようび,suiyoubi,Wednesday
スカート,,sukaato,skirt
好き,すき,suki,like
少し,すこし,sukoshi,a little (bit); small quantity
スポーツ,,supootsu,sport; sports
スプーン,,supuun,spoon
スリッパ,,surippa,slipper; slippers
ストーブ,,sutoobu,heater; stove
たばこ,,tabako,tobacco; cigarette
大変,たいへん,taihen,very; greatly; difficult
大切,たいせつ,taisetsu,important; indispensable
大使館,たいしかん,taishikan,embassy
沢山,たくさん,takusan,many
タクシー,,takushii,taxi
卵,たまご,tamago,eggs; egg
誕生日,たんじょうび,tanjoubi,birthday
縦,たて,tate,length; height
建物,たてもの,tatemono,building
手,て,te,hand; arm
テーブル,,teeburu,table
テープ,,teepu,tape
テープレコーダー,,teepu rekoodaa,tape recorder
手紙,てがみ,tegami,Letter (message)
天気,てんき,tenki,weather; the elements
テレビ,,terebi,television; TV
テスト,,tesuto,examination; quiz; test
戸,と,to,Japanese style door
トイレ,,toire,toilet
時計,とけい,tokei,watch; clock; timepiece
時,とき,toki,time; moment
時々,ときどき,tokidoki,sometimes; at times
所,ところ,tokoro,place
友達,ともだち,tomodachi,friend; companion
隣,となり,tonari,next door to
十日,とおか,tooka,tenth day of the month
鳥,とり,tori,bird
鶏肉,とりにく,toriniku,chicken meat
年,とし,toshi,year; age
図書館,としょかん,toshokan,library
次,つぎ,tsugi,next
一日,ついたち,tsuitachi,first day of the month
机,つくえ,tsukue,desk
上,うえ,ue,above; up; over; top
海,うみ,umi,sea
後ろ,うしろ,ushiro,back; behind; rear
歌,うた,uta,song
上着,うわぎ,uwagi,coat; jacket
ワイシャツ,,wai shatsu,shirt
山,やま,yama,mountain; hill
八百屋,やおや,yaoya,greengrocer
野菜,やさい,yasai,vegetable
休み,やすみ,yasumi,rest; vacation; holiday
八つ,やっつ,yattsu,eight: 8
四日,よっか,yokka,fourth day of the month
横,よこ,yoko,"beside,side,width"
夜,よる,yoru,evening; night
四つ,よつ,yotsu,four; 4
洋服,ようふく,youfuku,western clothes
八日,ようか,youka,eighth day of the month
雪,ゆき,yuki,snow
昨夜,ゆうべ,yuube,last night
郵便局,ゆうびんきょく,yuubinkyoku,post office
夕方,ゆうがた,yuugata,evening; dusk
夕飯,ゆうはん,yuuhan,evening meal
有名,ゆうめい,yuumei,famous
雑誌,ざっし,zasshi,magazine
全部,ぜんぶ,zenbu,all
ゼロ,,zero,zero
ズボン,,zubon,trousers; pants
